Game Started:,7/15/2021 7:49:08 PM
00:00:00,Frederik,Spade, 8
00:00:01,Mathias,Square, 9
00:00:03,Andreas,Square, 5
00:00:04,Lasse,Thumb, 13
00:00:05,Jakob,Line, 6
00:00:07,Steffen,Thumb, 3
00:00:08,Jonas,Line, 2
00:00:08,Didrik,Penis, 11
00:00:09,Jens,Circle, 6
00:00:10,Vagner,Line, 3
00:00:11,Sonja,Circle, 7
00:00:12,Randi,Diamond, 12
00:00:13,Frederik,Line, 12
00:00:14,Mathias,Club, 3
00:00:14,Andreas,Heart, 2
00:00:15,Lasse,Spade, 3
00:00:16,Jakob,Spade, 2
00:00:17,Steffen,Club, 11
00:00:18,Jonas,Line, 8
00:00:18,Didrik,Cross, 8
00:00:19,Jens,Triangle, 7
00:00:20,Vagner,Club, 7
00:00:21,Sonja,Square, 3
00:00:22,Randi,Triangle, 14
Chuck!,Randi,00:03:331
00:00:31,Frederik,Heart, 5
00:00:32,Mathias,Thumb, 9
00:00:33,Andreas,Circle, 8
00:00:34,Lasse,Star, 11
00:00:35,Jakob,Diamond, 7
00:00:36,Steffen,Triangle, 6
00:00:36,Jonas,Star, 2
00:00:37,Didrik,Cross, 13
00:00:39,Jens,Square, 13
00:00:39,Vagner,Circle, 5
00:00:40,Sonja,Cross, 9
00:00:41,Randi,Triangle, 8
00:00:42,Frederik,Thumb, 11
00:00:42,Mathias,Circle, 11
00:00:43,Andreas,Thumb, 12
00:00:44,Lasse,Penis, 10
00:00:45,Jakob,Penis, 12
00:00:45,Steffen,Line, 13
00:00:46,Jonas,Penis, 4
00:00:47,Didrik,Thumb, 10
00:00:48,Jens,Penis, 6
00:00:49,Vagner,Penis, 2
00:00:50,Sonja,Circle, 9
00:00:50,Randi,Cross, 5
00:00:51,Frederik,Thumb, 2
00:00:52,Mathias,Heart, 12
00:00:52,Andreas,Heart, 9
00:00:53,Lasse,Penis, 13
00:00:54,Jakob,Line, 9
00:00:54,Steffen,Line, 5
00:00:55,Jonas,Square, 6
00:00:56,Didrik,Star, 8
00:00:56,Jens,Circle, 14
Chuck!,Jens,00:02:203
00:01:04,Vagner,Spade, 5
00:01:05,Sonja,Square, 12
00:01:06,Randi,Triangle, 10
00:01:07,Frederik,Heart, 3
00:01:08,Mathias,Club, 5
00:01:08,Andreas,Diamond, 2
00:01:08,Lasse,Cross, 3
00:01:09,Jakob,Spade, 4
00:01:09,Steffen,Square, 14
Chuck!,Steffen,00:00:197
00:01:10,Jonas,Spade, 14
Chuck!,Jonas,00:00:204
00:01:10,Didrik,Diamond, 4
00:01:11,Jens,Line, 7
00:01:11,Vagner,Thumb, 7
00:01:11,Sonja,Club, 10
00:01:11,Randi,Triangle, 12
00:01:11,Frederik,Square, 4
00:01:12,Mathias,Line, 11
00:01:12,Andreas,Club, 9
00:01:12,Lasse,Triangle, 3
00:01:12,Jakob,Thumb, 6
00:01:12,Steffen,Club, 8
00:01:13,Jonas,Thumb, 14
Chuck!,Jonas,00:00:207
00:01:13,Didrik,Penis, 3
00:01:14,Jens,Thumb, 4
00:01:14,Vagner,Star, 9
00:01:14,Sonja,Cross, 6
00:01:14,Randi,Star, 6
00:01:14,Frederik,Triangle, 2
00:01:14,Mathias,Spade, 11
00:01:15,Andreas,Heart, 8
00:01:15,Lasse,Diamond, 13
00:01:15,Jakob,Heart, 13
00:01:15,Steffen,Thumb, 8
00:01:15,Jonas,Star, 7
00:01:16,Didrik,Cross, 12
00:01:16,Jens,Diamond, 6
00:01:16,Vagner,Star, 5
00:01:16,Sonja,Spade, 10
00:01:16,Randi,Heart, 6
00:01:17,Frederik,Heart, 14
Chuck!,Frederik,00:00:190
00:01:17,Mathias,Square, 2
00:01:18,Andreas,Club, 12
00:01:18,Lasse,Star, 10
00:01:18,Jakob,Penis, 8
00:01:18,Steffen,Spade, 13
00:01:18,Jonas,Spade, 12
00:01:19,Didrik,Club, 4
00:01:19,Jens,Diamond, 14
Chuck!,Jens,00:00:193
00:01:20,Vagner,Diamond, 10
00:01:20,Sonja,Circle, 13
00:01:20,Randi,Club, 2
00:01:20,Frederik,Square, 10
00:01:20,Mathias,Cross, 4
00:01:21,Andreas,Diamond, 9
00:01:21,Lasse,Penis, 9
00:01:21,Jakob,Cross, 2
00:01:21,Steffen,Cross, 11
00:01:21,Jonas,Star, 4
00:01:22,Didrik,Spade, 9
00:01:22,Jens,Triangle, 13
00:01:22,Vagner,Circle, 12
00:01:22,Sonja,Spade, 7
00:01:22,Randi,Heart, 11
00:01:23,Frederik,Diamond, 8
00:01:23,Mathias,Circle, 10
00:01:23,Andreas,Penis, 5
00:01:23,Lasse,Square, 7
00:01:23,Jakob,Diamond, 11
00:01:23,Steffen,Thumb, 5
00:01:24,Jonas,Star, 3
00:01:24,Didrik,Triangle, 4
00:01:24,Jens,Cross, 14
Chuck!,Jens,00:00:178
00:01:25,Vagner,Circle, 3
00:01:25,Sonja,Heart, 7
00:01:25,Randi,Square, 8
00:01:25,Frederik,Star, 12
00:01:26,Mathias,Cross, 10
00:01:26,Andreas,Triangle, 11
00:01:26,Lasse,Triangle, 5
00:01:26,Jakob,Circle, 2
00:01:26,Steffen,Square, 11
00:01:27,Jonas,Diamond, 5
00:01:27,Didrik,Line, 10
00:01:27,Jens,Heart, 4
00:01:27,Vagner,Star, 13
00:01:27,Sonja,Club, 6
00:01:27,Randi,Penis, 14
Chuck!,Randi,00:00:212
00:01:28,Frederik,Club, 14
Chuck!,Frederik,00:00:212
00:01:29,Mathias,Heart, 10
00:01:29,Andreas,Diamond, 3
00:01:29,Lasse,Triangle, 9
00:01:30,Jakob,Cross, 7
00:01:30,Steffen,Penis, 7
00:01:30,Jonas,Club, 13
00:01:30,Didrik,Line, 4
00:01:30,Jens,Line, 14
Chuck!,Jens,00:00:210
00:01:31,Vagner,Spade, 6
00:01:31,Sonja,Circle, 4
00:01:32,Randi,Star, 14
Game Ended,00:01:32
name,nr of beers,nr of sips,avg Sips,time Total,avg Time
Frederik,7.5,105,8.076923,00:00:07.0400906,00:00:00.5420000
Mathias,7.642857,107,8.230769,00:00:06.1488412,00:00:00.4730000
Andreas,6.785714,95,7.307693,00:00:06.7524701,00:00:00.5190000
Lasse,7.785714,109,8.384615,00:00:05.5393265,00:00:00.4260000
Jakob,6.357143,89,6.846154,00:00:06.5431479,00:00:00.5030000
Steffen,8.214286,115,8.846154,00:00:06.1497902,00:00:00.4730000
Jonas,6.714286,94,7.230769,00:00:05.6932049,00:00:00.4380000
Didrik,7.142857,100,7.692307,00:00:05.7834658,00:00:00.4450000
Jens,8.714286,122,9.384615,00:00:05.8729363,00:00:00.4520000
Vagner,6.214286,87,6.692307,00:00:05.7976353,00:00:00.4460000
Sonja,7.357143,103,7.923077,00:00:05.3660953,00:00:00.4130000
Randi,8.714286,122,9.384615,00:00:05.5319059,00:00:00.4260000
File End
