Game Started:,7/15/2021 8:39:46 PM
00:00:00,Frederik,Star, 11
00:00:00,Mathias,Triangle, 4
00:00:00,Andreas,Thumb, 5
00:00:00,Lasse,Star, 7
00:00:01,Jakob,Cross, 7
00:00:01,Steffen,Club, 3
00:00:01,Jonas,Circle, 12
00:00:02,Didrik,Square, 4
00:00:02,Jens,Club, 6
00:00:02,Vagner,Diamond, 13
00:00:03,Sonja,Star, 13
00:00:03,Randi,Square, 14
Chuck!,Randi,00:02:290
00:00:10,Frederik,Spade, 5
00:00:11,Mathias,Club, 2
00:00:11,Andreas,Triangle, 3
00:00:12,Lasse,Star, 10
00:00:12,Jakob,Square, 12
00:00:12,Steffen,Thumb, 14
Chuck!,Steffen,00:01:762
00:00:17,Jonas,Square, 5
00:00:17,Didrik,Spade, 3
00:00:18,Jens,Spade, 13
00:00:18,Vagner,Line, 5
00:00:18,Sonja,Club, 11
00:00:19,Randi,Square, 11
00:00:19,Frederik,Line, 9
00:00:19,Mathias,Diamond, 2
00:00:20,Andreas,Spade, 6
00:00:20,Lasse,Heart, 7
00:00:21,Jakob,Triangle, 8
00:00:21,Steffen,Square, 2
00:00:21,Jonas,Spade, 14
Chuck!,Jonas,00:02:712
00:00:29,Didrik,Cross, 13
00:00:29,Jens,Penis, 7
00:00:30,Vagner,Circle, 2
00:00:30,Sonja,Heart, 8
00:00:30,Randi,Square, 13
00:00:30,Frederik,Heart, 2
00:00:31,Mathias,Line, 2
00:00:31,Andreas,Star, 2
00:00:31,Lasse,Club, 13
00:00:32,Jakob,Diamond, 14
Chuck!,Jakob,00:04:111
00:00:40,Steffen,Star, 3
00:00:41,Jonas,Circle, 8
00:00:41,Didrik,Spade, 10
00:00:41,Jens,Line, 3
00:00:42,Vagner,Diamond, 5
00:00:42,Sonja,Circle, 13
00:00:42,Randi,Line, 8
00:00:43,Frederik,Cross, 9
00:00:43,Mathias,Thumb, 2
00:00:43,Andreas,Line, 11
00:00:44,Lasse,Diamond, 7
00:00:44,Jakob,Triangle, 2
00:00:44,Steffen,Cross, 11
00:00:45,Jonas,Heart, 13
00:00:45,Didrik,Spade, 2
00:00:45,Jens,Thumb, 10
00:00:46,Vagner,Triangle, 6
00:00:46,Sonja,Diamond, 3
00:00:46,Randi,Square, 7
00:00:47,Frederik,Star, 8
00:00:47,Mathias,Penis, 6
00:00:48,Andreas,Square, 3
00:00:48,Lasse,Thumb, 12
00:00:48,Jakob,Triangle, 5
00:00:49,Steffen,Club, 5
00:00:49,Jonas,Square, 8
00:00:49,Didrik,Line, 10
