Game Started:,7/16/2021 12:11:04 PM
00:00:00,,Club, 4
00:00:05,,Club, 4
00:00:06,,Club, 4
Game Ended,00:00:07
name,nr of beers,nr of sips,avg Sips,time Total,avg Time
,0.5714286,8,4,00:00:00.2802507,00:00:00.1400000
,0.2857143,4,4,00:00:05.8636091,00:00:05.8640000
File End
